latitude,longitude,year,month,day,cp,e,ilspf,lsp,pev,tcrw,tp,swvl1,swvl2,ro
17.25,77.0,2019,9,2,1.6247388e-05,-0.00030045692,0.10001069,5.7942234000000005e-06,-0.00036296120000000004,0.0031630993,2.203323e-05,0.49812043,0.50147635,4.8754737e-07
17.75,77.25,2018,8,7,7.789908e-05,-0.00030556976,0.0,0.0,-0.00044946134000000006,0.03393531,7.819616999999999e-05,0.36049226,0.34887278,9.750947e-07
18.0,77.0,2018,6,7,4.4534449999999995e-05,-0.00034204384,0.16413105,2.959324e-05,-0.00048720184999999995,0.023448706,7.387576600000001e-05,0.47087896,0.4111666,9.750947e-07
17.5,77.75,2018,2,19,0.0,-0.00021773606,0.0,0.0,-0.0007586069,0.0,0.0,0.1604681,0.21201208,2.803281e-06
17.0,78.0,2019,4,8,5.077105e-06,-0.00027039004,0.0,0.0,-0.0009322762,0.0,5.184207e-06,0.12600547,0.1598182,4.8754737e-07
17.5,78.0,2018,6,17,8.993782e-06,-0.00025763107,0.0,0.0,-0.00059231644,0.0,9.072479e-06,0.2949521,0.31943740000000004,9.750947e-07
17.25,77.0,2019,11,27,0.0,-0.00030233376,0.0,0.0,-0.0005709276,0.0,0.0,0.27137986,0.31953087,3.0468217999999997e-06
17.75,78.0,2018,8,9,5.077105e-06,-0.00028329698,0.0,4.1397288e-07,-0.00045497093,0.01450932,5.6163409999999996e-06,0.3806485,0.32609674,4.8754737e-07
17.0,77.25,2018,7,29,0.00014593406000000002,-0.00031176433999999996,0.0,4.1397288e-07,-0.0004113273,0.0006188154,0.0001464556,0.41519140000000004,0.41857365,1.4626421000000002e-06
17.25,77.0,2018,12,3,0.0,-0.00018902832999999998,0.0,0.0,-0.0005771651599999999,0.0,0.0,0.2641402,0.3027015,0.0
18.0,77.5,2018,2,28,0.0,-0.00031123732000000004,0.0,0.0,-0.00088359526,0.0,0.0,0.2640475,0.29996184,2.803281e-06
18.0,77.75,2018,7,26,0.00011198921,-0.00036551856,0.0,0.0,-0.00051461195,0.0,0.00011210982,0.43693519999999997,0.44972056,1.9501895e-06
18.0,77.75,2019,5,9,0.0,-0.00030609674,0.0,0.0,-0.0011645633,0.0,0.0,0.24966699,0.29457596,2.4354085000000004e-07
17.25,77.25,2018,9,8,5.077105e-06,-0.00035968455,0.0,0.0,-0.0004950727,0.0,5.184207e-06,0.37096262,0.39038837,4.8754737e-07
17.5,77.5,2018,6,14,1.4505348999999999e-06,-0.00039435574,0.0,0.0,-0.00061952975,0.00013756752000000002,1.5120022e-06,0.34378907,0.34775704,4.8754737e-07
